text,entities,predicted_entities
tampilkan Satuan Kredit Semester mata kuliah dengan nama yang mengandung kata kripto,"['{entity : mata_kuliah, value : kripto}']","['{entity : mata_kuliah, value : kripto, confidence : 0.9975608587265015}']"
tampilkan sks dan kode mata kuliah dengan nama Technopreneurship,"['{entity : mata_kuliah, value : Technopreneurship}']","['{entity : mata_kuliah, value : Technopreneurship, confidence : 0.9982454776763916}']"
"tampilkan sks, kode, dan nama dari mata kuliah dengan kode yang diawali huruf FIK","['{entity : kode, value : Fakultas Ilmu Komputer}']","['{entity : kode, value : Fakultas Ilmu Komputer, confidence : 0.9893050193786621}']"
tolong cari kode dari mata kuliah dengan nama kalkulus,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.9985713958740234}']"
Berapa jumlah SKS untuk mata kuliah dengan nama kalkulus ?,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.998559296131134}']"
Temukan kode mata kuliah dengan nama kalkulus,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.9983614087104797}']"
Temukan kode mata kuliah dengan nama Probabilitas dan Statistika,"['{entity : mata_kuliah, value : Probabilitas dan Statistika}']","['{entity : mata_kuliah, value : Probabilitas dan Statistika, confidence : 0.7453268766403198}']"
Tampilkan sks pada mata kuliah dengan nama kalkulus,"['{entity : mata_kuliah, value : kalkulus}']","['{entity : mata_kuliah, value : kalkulus, confidence : 0.9984252452850342}']"
Sebutkan kode dari mata kuliah pengolahan citra,"['{entity : mata_kuliah, value : pengolahan citra}']","['{entity : mata_kuliah, value : pengolahan citra, confidence : 0.9857940077781677}']"
sebutkan mata kuliah pilihan pada semester 5,"['{entity : semester, value : semester 5}']","['{entity : semester, value : semester 5, confidence : 0.67}']"
sebutkan mata kuliah pilihan pada semester 7,"['{entity : semester, value : semester 7}']","['{entity : semester, value : semester 7, confidence : 0.67}']"
"sebutkan nama, dan sks mata kuliah pilihan pada semester 2","['{entity : semester, value : semester 2}']","['{entity : semester, value : semester 2, confidence : 0.67}']"
Apa saja mata kuliah pilihan yang bisa diambil pada semester 6 ?,"['{entity : semester, value : semester 6}']","['{entity : semester, value : semester 6, confidence : 0.67}']"
Apa nama dan sks mata kuliah dengan kode FIK20022 ?,"['{entity : kode, value : FIK20022}']","['{entity : kode, value : FIK20022, confidence : 0.998035728931427}']"
Apa nama mata kuliah dengan kode FIK23222 ?,"['{entity : kode, value : FIK23222}']","['{entity : kode, value : FIK23222, confidence : 0.99735426902771}']"
tampilkan sks mata kuliah dengan nama SKRIPSI,"['{entity : mata_kuliah, value : SKRIPSI}']","['{entity : mata_kuliah, value : SKRIPSI, confidence : 0.997363269329071}']"
sebutkan daftar nama mata kuliah dengan nama yang mengandung kata android,"['{entity : mata_kuliah, value : android}']","['{entity : mata_kuliah, value : android, confidence : 0.9983986020088196}']"
sebutkan daftar nama mata kuliah dengan nama yang mengandung kata game,"['{entity : mata_kuliah, value : game}']","['{entity : mata_kuliah, value : game, confidence : 0.9975064396858215}']"
sebutkan daftar nama mata kuliah dengan nama yang mengandung kata web,"['{entity : mata_kuliah, value : web}']","['{entity : mata_kuliah, value : web, confidence : 0.9977699518203735}']"
semester berapakah mata kuliah dengan nama mengandung kata kp,"['{entity : mata_kuliah, value : kerja praktek}']","['{entity : mata_kuliah, value : kerja praktek, confidence : 0.9951840043067932}']"
semester berapakah mata kuliah dengan nama mengandung kata skripsi,"['{entity : mata_kuliah, value : skripsi}']","['{entity : mata_kuliah, value : skripsi, confidence : 0.9984562397003174}']"
carikan data mata kuliah dengan kode FIK002317,"['{entity : kode, value : FIK002317}']","['{entity : kode, value : FIK002317, confidence : 0.9978885054588318}']"
Temukan nama matakuliah yang memiliki Kode FIK001XXX,"['{entity : kode, value : FIK001XXX}']","['{entity : kode, value : FIK001XXX, confidence : 0.9964099526405334}']"
lihat kode matakuliah yang bernama alpro,"['{entity : mata_kuliah, value : algoritma dan pemrograman}']","['{entity : mata_kuliah, value : algoritma dan pemrograman, confidence : 0.9977680444717407}']"
sebutkan daftar mk yang memiliki sks 4,"['{entity : sks, value : sks 4}']","['{entity : sks, value : sks 4, confidence : 0.66}']"
sebutkan daftar mk yang memiliki sks 3,"['{entity : sks, value : sks 3}']","['{entity : sks, value : sks 3, confidence : 0.66}']"
sebutkan daftar mk yang memiliki sks 2,"['{entity : sks, value : sks 2}']","['{entity : sks, value : sks 2, confidence : 0.66}']"
tampilkan daftar mk pada semester 7,"['{entity : semester, value : semester 7}']","['{entity : semester, value : semester 7, confidence : 0.67}']"
Minta daftar dosen yang berjurusan teknik informatika,"['{entity : jurusan, value : teknik informatika}']","['{entity : jurusan, value : teknik informatika, confidence : 0.924574613571167}']"
Sebutkan nama dosen dengan nomor induk pegawai mengandung angka 001 dan berjenis kelamin pria,"['{entity : nip, value : mengandung angka 001}', '{entity : gender, value : pria}']","['{entity : nip, value : angka 001, confidence : 0.46512940526008606}', '{entity : gender, value : pria, confidence : 0.9983306527137756}']"
Berikan data dosen pembimbing dari mahasiswa yang bernama Adi,"['{entity : nama_mahasiswa, value : Adi}']","['{entity : nama_mahasiswa, value : Adi, confidence : 0.9826239943504333}']"
Berikan data dosen pembimbing dari mahasiswa yang bernama Febyk,"['{entity : nama_mahasiswa, value : Febyk}']","['{entity : nama_mahasiswa, value : Febyk, confidence : 0.9964703321456909}']"
Berikan data dosen pembimbing dari mahasiswa yang bernama Nadia,"['{entity : nama_mahasiswa, value : Nadia}']","['{entity : nama_mahasiswa, value : Nadia, confidence : 0.9977464079856873}']"
Berapa NIP dosen dengan nama abdiansyah ?,"['{entity : nama_dosen, value : abdiansyah}']","['{entity : nama_dosen, value : abdiansyah, confidence : 0.9967712759971619}']"
Tampilkan profil dosen dengan nama berawalan kata nabila,"['{entity : nama_dosen, value : nabila}']","['{entity : nama_dosen, value : nabila, confidence : 0.995438277721405}']"
Siapa dosen PA mahasiswa yang memiliki NIM 0902118182XXXX ?,"['{entity : nim, value : NIM 0902118182XXXX}']","['{entity : nim, value : NIM 0902118182XXXX, confidence : 0.9972463846206665}']"
Siapa dosen pembimbing dari mahasiswa dengan nim xxxxxxxx,"['{entity : nim, value : nim xxxxxxxx}']","['{entity : nim, value : nim xxxxxxxx, confidence : 0.9832959771156311}']"
Berapa nip dosen yang bernama qurhanul ?,"['{entity : nama_dosen, value : qurhanul}']","['{entity : nama_dosen, value : qurhanul, confidence : 0.9967772364616394}']"
Berapa nip dosen yang memiliki nama naufal ?,"['{entity : nama_dosen, value : naufal}']","['{entity : nama_dosen, value : naufal, confidence : 0.9962718486785889}']"
Siapa saja dosen teknik informatika yang berjenis kelamin perempuan ?,"['{entity : jurusan, value : teknik informatika}', '{entity : gender, value : perempuan}']","['{entity : jurusan, value : teknik informatika, confidence : 0.8522781133651733}', '{entity : gender, value : perempuan, confidence : 0.99895179271698}']"
Siapa saja dosen yang berjenis kelamin laki-laki ?,"['{entity : gender, value : laki-laki}']","['{entity : gender, value : laki-laki, confidence : 0.9926860332489014}']"
Cari nama dosen laki laki teknik informatika,"['{entity : gender, value : laki laki}', '{entity : jurusan, value : teknik informatika}']","['{entity : gender, value : laki laki, confidence : 0.5238666534423828}', '{entity : jurusan, value : teknik informatika, confidence : 0.9281310439109802}']"
Siapa saja dosen dari jurusan teknik informatika yang berjenis kelamin laki-laki ?,"['{entity : jurusan, value : teknik informatika}', '{entity : gender, value : laki-laki}']","['{entity : jurusan, value : teknik informatika, confidence : 0.9003654718399048}', '{entity : gender, value : laki-laki, confidence : 0.9944356679916382}']"
sebutkan nomor induk pegawai dari dosen yang memiliki nama mengandung kata santoso,"['{entity : nama_dosen, value : santoso}']","['{entity : nama_dosen, value : santoso, confidence : 0.9950748085975647}']"
Carikan data mahasiswa yang angkatan 2018 dan berjenis kelamin lelaki,"['{entity : angkatan, value : angkatan 2018}', '{entity : gender, value : lelaki}']","['{entity : angkatan, value : angkatan 2018, confidence : 0.5556880831718445}', '{entity : gender, value : lelaki, confidence : 0.9978880286216736}']"
Tolong berikan daftar nama mahasiswa yang berjenis kelamin wanita,"['{entity : gender, value : wanita}']","['{entity : gender, value : wanita, confidence : 0.9986234903335571}']"
tampilkan mahasiswa dengan dosen pembimbing abdiansyah,"['{entity : nama_dosen, value : abdiansyah}']","['{entity : nama_dosen, value : abdiansyah, confidence : 0.9962728023529053}']"
"tampilkan nama, angkatan, dan program studi mahasiswa dengan nomor induk mahasiswa diakhiri angka 20 dan tahun angkatan dibawah 2018","['{entity : nim, value : diakhiri angka 20}', '{entity : angkatan, value : angkatan dibawah 2018}']","['{entity : angkatan, value : angkatan, confidence : 0.543178915977478}', '{entity : prodi, value : program, confidence : 0.6988584995269775}', '{entity : nim, value : diakhiri angka 20, confidence : 0.44}', '{entity : angkatan, value : angkatan dibawah 2018, confidence : 0.712101936340332}']"
Temukan data mahasiswa dengan nama adi,"['{entity : nama_mahasiswa, value : adi}']","['{entity : nama_mahasiswa, value : adi, confidence : 0.9475465416908264}']"
Temukan nama mahasiswa yang memiliki NIM 09021181823168,"['{entity : nim, value : NIM 09021181823168}']","['{entity : nim, value : NIM 09021181823168, confidence : 0.6439656019210815}']"
Siapa nama mahasiswa yang memiliki NIM 09021281823039 ?,"['{entity : nim, value : NIM 09021281823039}']","['{entity : nim, value : NIM 09021281823039, confidence : 0.6537171006202698}']"
Berapa IPK mahasiswa dengan NIM 0902181823003 ?,"['{entity : nim, value : NIM 0902181823003}']","['{entity : nim, value : NIM 0902181823003, confidence : 0.6585376262664795}']"
berapa nilai suliet mahasiswa dengan nim 09021181823003,"['{entity : nim, value : nim 09021181823003}']","['{entity : nim, value : nim 09021181823003, confidence : 0.66}']"
Carikan data mahasiswa dengan NIM 09021281823051,"['{entity : nim, value : NIM 09021281823051}']","['{entity : nim, value : NIM 09021281823051, confidence : 0.6520239114761353}']"
sebutkan Indeks Prestasi Kumulatif mahasiswa dengan nim 0902xxxxx,"['{entity : nim, value : nim 0902xxxxx}']","['{entity : nim, value : nim 0902xxxxx, confidence : 0.9819427132606506}']"
Siapa nama mahasiswa yang memiliki NIM 0902118182XXXX ?,"['{entity : nim, value : NIM 0902118182XXXX}']","['{entity : nim, value : NIM 0902118182XXXX, confidence : 0.9972801208496094}']"
Tampilkan data mahasiswa yang bernama Dahlia,"['{entity : nama_mahasiswa, value : Dahlia}']","['{entity : nama_mahasiswa, value : Dahlia, confidence : 0.9961977601051331}']"
temukan nama mahasiswa yang memiliki nim 0902118xxxx,"['{entity : nim, value : nim 0902118xxxx}']","['{entity : nim, value : nim 0902118xxxx, confidence : 0.9832444190979004}']"
Tampilkan mahasiswa teknik informatika angkatan 2017,"['{entity : angkatan, value : angkatan 2017}']","['{entity : jurusan, value : teknik informatika, confidence : 0.7930788993835449}', '{entity : angkatan, value : angkatan 2017, confidence : 0.6774270534515381}']"
Berapa nim mahasiswa dengan nama mengandung kata virani ?,"['{entity : nama_mahasiswa, value : virani}']","['{entity : nama_mahasiswa, value : virani, confidence : 0.9980789422988892}']"
Tampilkan daftar nama mahasiswa yang berjenis kelamin perempuan pada jurusan Informatika angkatan 2018,"['{entity : gender, value : perempuan}', '{entity : jurusan, value : Informatika}', '{entity : angkatan, value : angkatan 2018}']","['{entity : gender, value : perempuan, confidence : 0.9988589286804199}', '{entity : jurusan, value : Informatika, confidence : 0.46561911702156067}', '{entity : angkatan, value : angkatan 2018, confidence : 0.7152798175811768}']"
Tampilkan daftar nama mahasiswa yang berjenis kelamin pria,"['{entity : gender, value : pria}']","['{entity : gender, value : pria, confidence : 0.9983263611793518}']"
tampilkan nama mahasiswa yang jenis kelaminnya perempuan,"['{entity : gender, value : perempuan}']","['{entity : gender, value : perempuan, confidence : 0.9987786412239075}']"
temukan mahasiswa yang berjenis kelamin wanita,"['{entity : gender, value : wanita}']","['{entity : gender, value : wanita, confidence : 0.9981915354728699}']"
Siapakah mahasiswa dengan NIM 09021281823172 ?,"['{entity : nim, value : NIM 09021281823172}']","['{entity : nim, value : NIM 09021281823172, confidence : 0.6559361219406128}']"
Tampilkan data NIM seluruh mahasiswa yang angkatan 2018,"['{entity : angkatan, value : angkatan 2018}']","['{entity : angkatan, value : angkatan 2018, confidence : 0.707530677318573}']"
siapa nama mahasiswa dan tahun angkatan dengan nim 09021281823057,"['{entity : nim, value : nim 09021281823057}']","['{entity : angkatan, value : angkatan, confidence : 0.9418923258781433}', '{entity : nim, value : nim 09021281823057, confidence : 0.66}']"
Siapa nama mahasiswa yang memiliki nim 09021281823057,"['{entity : nim, value : nim 09021281823057}']","['{entity : nim, value : nim 09021281823057, confidence : 0.66}']"
Tampilkan data NIM seluruh mahasiswa dengan angkatan 2018,"['{entity : angkatan, value : angkatan 2018}']","['{entity : angkatan, value : angkatan 2018, confidence : 0.707146406173706}']"
Siapa saja mahasiswa teknik informatika reguler angkatan 2018,"['{entity : jurusan, value : teknik informatika}', '{entity : prodi, value : reguler}', '{entity : angkatan, value : angkatan 2018}']","['{entity : jurusan, value : teknik informatika, confidence : 0.8569655418395996}', '{entity : prodi, value : reguler, confidence : 0.6526254415512085}', '{entity : angkatan, value : angkatan 2018, confidence : 0.7192432284355164}']"
tampilkan mahasiswa dengan program studi Bilingual angkatan 2018 ?,"['{entity : prodi, value : program studi Bilingual}', '{entity : angkatan, value : angkatan 2018}']","['{entity : prodi, value : program studi Bilingual, confidence : 0.7678666710853577}', '{entity : angkatan, value : angkatan 2018, confidence : 0.7022000551223755}']"
tampilkan nim mahasiswa yang namanya jamal,"['{entity : nama_mahasiswa, value : jamal}']","['{entity : nama_mahasiswa, value : jamal, confidence : 0.9950237274169922}']"
Tampilkan daftar nama mahasiswa dengan jurusan berakhiran kata Informatika dan program studi Reguler dan tahun angkatan 2015,"['{entity : jurusan, value : Informatika}', '{entity : prodi, value : program studi Reguler}', '{entity : angkatan, value : angkatan 2015}']","['{entity : nama_mahasiswa, value : berakhiran, confidence : 0.5120871067047119}', '{entity : nama_mahasiswa, value : kata Informatika, confidence : 0.62}', '{entity : prodi, value : program studi Reguler, confidence : 0.6802804470062256}', '{entity : angkatan, value : angkatan 2015, confidence : 0.774005651473999}']"
Tampilkan daftar nama mahasiswa yang berjenis kelamin perempuan pada jurusan TI angkatan 2018,"['{entity : gender, value : perempuan}', '{entity : jurusan, value : teknik informatika}', '{entity : angkatan, value : angkatan 2018}']","['{entity : gender, value : perempuan, confidence : 0.9988945126533508}', '{entity : jurusan, value : teknik informatika, confidence : 0.579630434513092}', '{entity : angkatan, value : angkatan 2018, confidence : 0.7156698107719421}']"
berikan data mahasiswa dengan ipk 4,"['{entity : ipk, value : ipk 4}']","['{entity : ipk, value : ipk 4, confidence : 0.65}']"
Berikan daftar nama mahasiswa yang berjenis kelamin perempuan angkatan 2020,"['{entity : gender, value : perempuan}', '{entity : angkatan, value : 2020}']","['{entity : gender, value : perempuan, confidence : 0.998894989490509}', '{entity : angkatan, value : angkatan 2020, confidence : 0.7347033023834229}']"
sebutkan nomor induk mahasiswa dan nama dari mahasiswa yang berangkatan dibawah 2019,"['{entity : angkatan, value : berangkatan dibawah 2019}']","['{entity : angkatan, value : berangkatan dibawah 2019, confidence : 0.6826611757278442}']"
sebutkan nama mata kuliah pada semester 6 urutkan berdasarkan nama dan batasi 9 data secara unik,"['{entity : semester, value : semester 6}', '{entity : order_by, value : berdasarkan nama}', '{entity : limit_unique, value : batasi 9}']","['{entity : semester, value : semester 6, confidence : 0.67}', '{entity : order_by_desc, value : berdasarkan nama, confidence : 0.567335844039917}', '{entity : limit, value : batasi 9, confidence : 0.6}']"
tampilkan nama matakuliah dengan kode diakhiri angka 10 batasi 2 data,"['{entity : kode, value : angka 10}', '{entity : limit, value : batasi 2}']","['{entity : nim, value : diakhiri, confidence : 0.640540599822998}', '{entity : angkatan, value : angka 10, confidence : 0.4584066569805145}', '{entity : limit, value : batasi 2, confidence : 0.62}']"
tampilkan nama dosen dengan nama diawali huruf a dan nip diawali angka 1 urutkan berdasarkan nip batasi 5 data secara unik,"['{entity : nama_dosen, value : diawali huruf a}', '{entity : nip, value : diawali angka 1}', '{entity : order_by, value : berdasarkan nip}', '{entity : limit_unique, value : batasi 5}']","['{entity : nama_dosen, value : diawali huruf a, confidence : 0.5647984743118286}', '{entity : order_by, value : nip, confidence : 0.41268157958984375}', '{entity : nip, value : diawali angka 1, confidence : 0.5698027014732361}', '{entity : order_by_desc, value : berdasarkan nip, confidence : 0.52}', '{entity : limit, value : batasi 5, confidence : 0.55}']"
temukan data dosen batasi 5 data,"['{entity : limit, value : batasi 5}']","['{entity : limit, value : batasi 5, confidence : 0.281372606754303}']"
temukan data dosen urutkan berdasarkan nip meningkat nama menurun,"['{entity : order_by_desc, value : berdasarkan nip}', '{entity : nama_dosen, value : nama}']","['{entity : order_by_desc, value : berdasarkan nip, confidence : 0.606456995010376}', '{entity : order_by_desc, value : nama, confidence : 0.45261573791503906}']"
tampilkan nama mahasiswa secara unik yang memiliki nim berawalan 090210 atau nim berawalan 090211 dan angkatan 2018 atau angkatan diatas angkatan 2019 dengan jenis kelamin laki laki batasi 5 data urutkan berdasarkan nim,"['{entity : nim, value : berawalan 090210}', '{entity : condition, value : or}', '{entity : nim, value : berawalan 090211}', '{entity : condition, value : and}', '{entity : angkatan, value : angkatan 2018}', '{entity : condition, value : or}', '{entity : condition, value : more than}', '{entity : angkatan, value : angkatan 2019}', '{entity : gender, value : laki laki}', '{entity : limit, value : batasi 5}', '{entity : order_by, value : berdasarkan nim}']","['{entity : nim, value : nim, confidence : 0.37718063592910767}', '{entity : nim, value : berawalan 090210, confidence : 0.66}', '{entity : condition, value : or, confidence : 0.9984847903251648}', '{entity : nim, value : berawalan 090211, confidence : 0.66}', '{entity : condition, value : and, confidence : 0.7443481087684631}', '{entity : angkatan, value : angkatan 2018, confidence : 0.6794325709342957}', '{entity : condition, value : or, confidence : 0.9978415966033936}', '{entity : angkatan, value : angkatan, confidence : 0.9573026895523071}', '{entity : condition, value : more than, confidence : 0.9986540079116821}', '{entity : angkatan, value : angkatan 2019, confidence : 0.6269136667251587}', '{entity : gender, value : laki laki, confidence : 0.5351667404174805}', '{entity : limit, value : batasi 5, confidence : 0.61}', '{entity : order_by, value : berdasarkan nim, confidence : 0.5766934156417847}']"
temukan secara unik nama dan nilai usept dari mahasiswa yang nilai useptnya 500 urutkan berdasarkan nama menurun,"['{entity : nilai_suliet, value : nilai useptnya 500}', '{entity : order_by_desc, value : berdasarkan nama}']","['{entity : nilai_suliet, value : nilai, confidence : 0.7631661891937256}', '{entity : condition, value : dari, confidence : 0.7544217109680176}', '{entity : nilai_suliet, value : nilai useptnya 500, confidence : 0.79}', '{entity : order_by_desc, value : berdasarkan nama, confidence : 0.5765217542648315}']"
"Tampilkan ipk , dan nama mahasiswa yang berangkatan 2018 urutkan berdasarkan ipk menurun batasi 10 data","['{entity : angkatan, value : berangkatan 2018}', '{entity : order_by_desc, value : berdasarkan ipk}', '{entity : limit, value : batasi 10}']","['{entity : angkatan, value : berangkatan 2018, confidence : 0.5864768028259277}', '{entity : order_by_desc, value : berdasarkan ipk, confidence : 0.5849984288215637}', '{entity : limit, value : batasi 10, confidence : 0.59}']"
Tampilkan nama mahasiswa dengan IPK lebih besar dari tiga batasi 5 data,"['{entity : condition, value : more than}', '{entity : ipk, value : tiga}', '{entity : limit, value : batasi 5}']","['{entity : condition, value : more than, confidence : 0.8880839347839355}', '{entity : ipk, value : tiga, confidence : 0.7806123495101929}', '{entity : limit, value : batasi 5, confidence : 0.61}']"
Tolong carikan nama mahasiswa yang angkatan 2018 urutkan berdasarkan NIM secara menurun,"['{entity : angkatan, value : angkatan 2018}', '{entity : order_by_desc, value : berdasarkan NIM}']","['{entity : angkatan, value : angkatan 2018, confidence : 0.5909356474876404}', '{entity : order_by_desc, value : berdasarkan NIM, confidence : 0.6464439630508423}']"
Tolong temukan data mahasiswa dengan angkatan dibawah 2018 batasi 10 data,"['{entity : angkatan, value : angkatan dibawah 2018}', '{entity : limit, value : batasi 10}']","['{entity : angkatan, value : angkatan dibawah 2018, confidence : 0.486503005027771}', '{entity : limit, value : batasi 10, confidence : 0.62}']"
tampilkan data mahasiswa dengan nama mengandung kata awan dan tahun angkatan 2018 atau angkatan 2019,"['{entity : nama_mahasiswa, value : kata awan}', '{entity : angkatan, value : angkatan 2018}', '{entity : condition, value : or}', '{entity : angkatan, value : angkatan 2019}']","['{entity : nama_mahasiswa, value : kata awan, confidence : 0.9693608283996582}', '{entity : angkatan, value : angkatan 2018, confidence : 0.6355462670326233}', '{entity : condition, value : or, confidence : 0.9984101057052612}', '{entity : angkatan, value : angkatan 2019, confidence : 0.7654383182525635}']"
temukan data mahasiswa yang memiliki nama mengandung kata adi atau nama berakhiran huruf a ipk diatas tiga ?,"['{entity : nama_mahasiswa, value : kata adi}', '{entity : condition, value : or}', '{entity : nama_mahasiswa, value : berakhiran huruf a}', '{entity : condition, value : more than}', '{entity : ipk, value : tiga}']","['{entity : nama_mahasiswa, value : kata adi, confidence : 0.9319370985031128}', '{entity : condition, value : or, confidence : 0.9984447360038757}', '{entity : nama_mahasiswa, value : berakhiran huruf a, confidence : 0.5464044809341431}', '{entity : condition, value : more than, confidence : 0.9990748167037964}', '{entity : ipk, value : tiga, confidence : 0.9570733308792114}']"
sebutkan mahasiswa yang nilai sulietnya 500,"['{entity : nilai_suliet, value : nilai sulietnya 500}']","['{entity : nilai_suliet, value : nilai sulietnya 500, confidence : 0.6336260437965393}']"
tampilkan mahasiswa dengan nim diatas 0902 dan angkatan dibawah 2018,"['{entity : condition, value : more than}', '{entity : nim, value : 0902}', '{entity : angkatan, value : angkatan dibawah 2018}']","['{entity : condition, value : diatas 0902, confidence : 0.5247640013694763}', '{entity : condition, value : and, confidence : 0.5309909582138062}', '{entity : angkatan, value : angkatan dibawah 2018, confidence : 0.6988125443458557}']"
tampilkan nama mahasiswa dengan nilai suliet lebih besar dari lima ratus,"['{entity : condition, value : more than}', '{entity : nilai_suliet, value : lima ratus}']","['{entity : condition, value : more than, confidence : 0.8302443027496338}', '{entity : nilai_suliet, value : lima ratus, confidence : 0.8739629983901978}']"
Berikan data mahasiswa dengan IPK kurang dari tiga,"['{entity : condition, value : less than}', '{entity : ipk, value : tiga}']","['{entity : condition, value : less than, confidence : 0.9906808733940125}', '{entity : ipk, value : tiga, confidence : 0.9437105059623718}']"
Berikan data mahasiswa dengan IPK lebih dari tiga,"['{entity : condition, value : more than}', '{entity : ipk, value : tiga}']","['{entity : condition, value : more than, confidence : 0.9932234287261963}', '{entity : ipk, value : tiga, confidence : 0.9413711428642273}']"
Cari data mahasiswa yang memiliki nilai Suliet lebih dari enam ratus,"['{entity : condition, value : more than}', '{entity : nilai_suliet, value : enam ratus}']","['{entity : condition, value : more than, confidence : 0.9854713678359985}', '{entity : nilai_suliet, value : enam ratus, confidence : 0.9943822622299194}']"
siapa mahasiswa dengan ipk dibawah dua,"['{entity : condition, value : less than}', '{entity : ipk, value : dua}']","['{entity : angkatan, value : less than, confidence : 0.6046112775802612}', '{entity : ipk, value : dua, confidence : 0.9883860349655151}']"
Tampilkan mahasiswa dengan IPK diatas tiga,"['{entity : condition, value : more than}', '{entity : ipk, value : tiga}']","['{entity : condition, value : more than, confidence : 0.9980308413505554}', '{entity : ipk, value : tiga, confidence : 0.9578437805175781}']"
temukan mahasiswa dengan nama berawalan kata adi dan angkatan 2018 atau lebih besar dari angkatan 2018,"['{entity : nama_mahasiswa, value : kata adi}', '{entity : condition, value : and}', '{entity : angkatan, value : angkatan 2018}', '{entity : condition, value : or}', '{entity : condition, value : more than}', '{entity : angkatan, value : angkatan 2018}']","['{entity : nama_mahasiswa, value : kata adi, confidence : 0.9723366498947144}', '{entity : condition, value : and, confidence : 0.8921759724617004}', '{entity : angkatan, value : angkatan 2018, confidence : 0.6542264223098755}', '{entity : condition, value : or, confidence : 0.9985153079032898}', '{entity : condition, value : more than, confidence : 0.9002417922019958}', '{entity : angkatan, value : angkatan 2018, confidence : 0.7807996273040771}']"
Tampilkan daftar nama mahasiswa yang memiliki ipk lebih besar tiga koma lima,"['{entity : condition, value : more than}', '{entity : ipk, value : tiga koma lima}']","['{entity : condition, value : more than, confidence : 0.80536949634552}', '{entity : ipk, value : tiga koma lima, confidence : 0.6902660727500916}']"
temukan daftar mahasiswa dengan [angkatan 2018] dan jurusan teknik informatika,"['{entity : condition, value : and}', '{entity : jurusan, value : teknik informatika}']","['{entity : angkatan, value : angkatan 2018, confidence : 0.5673633813858032}', '{entity : condition, value : and, confidence : 0.7342196106910706}', '{entity : jurusan, value : teknik informatika, confidence : 0.867061972618103}']"
tampilkan daftar nama mahasiswa dari jurusan ti yang nilai sulietnya diatas lima ratus dan angkatan diatas angkatan 2018,"['{entity : jurusan, value : teknik informatika}', '{entity : condition, value : more than}', '{entity : nilai_suliet, value : lima ratus}', '{entity : condition, value : and}', '{entity : condition, value : more than}', '{entity : angkatan, value : angkatan 2018}']","['{entity : jurusan, value : ti, confidence : 0.9941980838775635}', '{entity : nilai_suliet, value : nilai, confidence : 0.609660267829895}', '{entity : condition, value : more than, confidence : 0.999233603477478}', '{entity : nilai_suliet, value : lima ratus, confidence : 0.6580758094787598}', '{entity : condition, value : and, confidence : 0.900309145450592}', '{entity : angkatan, value : angkatan, confidence : 0.9407992362976074}', '{entity : condition, value : more than, confidence : 0.9987078905105591}', '{entity : angkatan, value : angkatan 2018, confidence : 0.7783570289611816}']"
